Model: gemma-3-4b-pt
Location & Value of Massive Activations
==================================================
Layer-0: 10240.0
Layer-1: 10496.0
Layer-2: 14336.0
Layer-3: 16768.0
Layer-4: 28928.0
Layer-5: 44032.0
Layer-6: 51200.0
Layer-7: 64256.0
Layer-8: 70144.0
Layer-9: 89088.0
Layer-10: 93184.0
Layer-11: 92160.0
Layer-12: 108544.0
Layer-13: 133120.0
Layer-14: 157696.0
Layer-15: 165888.0
Layer-16: 172032.0
Layer-17: 186368.0
Layer-18: 193536.0
Layer-19: 198656.0
Layer-20: 200704.0
Layer-21: 204800.0
Layer-22: 209920.0
Layer-23: 223232.0
Layer-24: 222208.0
Layer-25: 226304.0
Layer-26: 228352.0
Layer-27: 230400.0
Layer-28: 227328.0
Layer-29: 228352.0
Layer-30: 196608.0
