Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -243.0 in layer 1 token_dim [] loc 293. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -243.0 in layer 1 token_dim [] loc 293. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [0] loc 743. Original Value: tensor([[-244.]])
Resetting massive activations to -243.0 in layer 1 token_dim [0] loc 293. Original Value: tensor([[-153.]])
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -243.0 in layer 1 token_dim [] loc 293. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -243.0 in layer 1 token_dim [] loc 293. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -243.0 in layer 1 token_dim [] loc 293. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -243.0 in layer 1 token_dim [] loc 293. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -243.0 in layer 1 token_dim [] loc 293. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -243.0 in layer 1 token_dim [] loc 293. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -243.0 in layer 1 token_dim [] loc 293. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -243.0 in layer 1 token_dim [] loc 293. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -243.0 in layer 1 token_dim [] loc 293. Original Value: tensor([], size=(1, 0))
Resetting massive activations to -538.1818181818181 in layer 1 token_dim [] loc 743. Original Value: tensor([], size=(1, 0))
